event_id,gmv_PGA,gmv_SA(0.3)
2,0.145,0.325
2,0.149,0.336
2,0.154,0.347
2,0.159,0.358
2,0.165,0.37
2,0.17,0.382
2,0.093,0.158
2,0.121,0.272
2,0.099,0.168
2,0.102,0.174
2,0.132,0.298
2,0.137,0.308
2,0.141,0.318
2,0.146,0.328
2,0.15,0.338
2,0.155,0.348
2,0.16,0.359
2,0.165,0.37
2,0.115,0.259
2,0.103,0.175
2,0.106,0.18
2,0.138,0.31
2,0.142,0.319
2,0.146,0.329
2,0.151,0.339
2,0.155,0.349
2,0.16,0.359
3,0.111,0.19
3,0.116,0.197
3,0.121,0.205
3,0.126,0.214
3,0.131,0.223
3,0.137,0.233
3,0.144,0.244
3,0.19,0.426
3,0.2,0.447
3,0.21,0.469
3,0.221,0.494
3,0.233,0.52
3,0.111,0.189
3,0.115,0.197
3,0.12,0.205
3,0.131,0.223
3,0.143,0.243
3,0.189,0.424
3,0.198,0.444
3,0.208,0.466
3,0.219,0.49
3,0.231,0.516
3,0.139,0.314
3,0.115,0.196
3,0.12,0.204
3,0.125,0.212
3,0.13,0.221
3,0.142,0.241
3,0.149,0.252
3,0.197,0.441
3,0.207,0.462
3,0.217,0.486
3,0.228,0.511
3,0.11,0.187
3,0.114,0.194
3,0.119,0.202
3,0.124,0.211
3,0.129,0.22
3,0.135,0.229
3,0.141,0.239
3,0.186,0.417
3,0.195,0.436
3,0.204,0.457
3,0.214,0.48
3,0.225,0.504
3,0.109,0.186
3,0.113,0.193
3,0.118,0.201
3,0.133,0.227
3,0.139,0.237
3,0.184,0.412
3,0.192,0.431
3,0.202,0.451
3,0.211,0.473
3,0.222,0.496
3,0.108,0.184
3,0.112,0.191
3,0.117,0.199
3,0.121,0.207
3,0.126,0.215
3,0.132,0.224
3,0.138,0.234
3,0.181,0.407
3,0.19,0.425
3,0.198,0.444
3,0.208,0.465
3,0.218,0.488
3,0.107,0.182
3,0.14,0.315
3,0.115,0.197
3,0.12,0.204
3,0.125,0.213
3,0.13,0.221
3,0.173,0.435
3,0.179,0.401
3,0.187,0.418
3,0.195,0.437
3,0.204,0.457
3,0.214,0.478
3,0.106,0.18
3,0.138,0.312
3,0.114,0.194
3,0.15,0.336
3,0.156,0.349
3,0.162,0.364
3,0.169,0.378
3,0.176,0.394
3,0.183,0.411
3,0.191,0.429
3,0.2,0.448
3,0.209,0.468
3,0.104,0.178
3,0.108,0.185
3,0.112,0.192
3,0.147,0.332
3,0.153,0.344
3,0.159,0.358
3,0.168,0.422
3,0.173,0.387
3,0.18,0.403
3,0.187,0.42
3,0.195,0.438
3,0.204,0.457
3,0.103,0.176
3,0.111,0.189
3,0.115,0.196
3,0.151,0.339
3,0.124,0.211
3,0.163,0.365
3,0.169,0.38
3,0.176,0.395
3,0.183,0.411
3,0.191,0.428
3,0.199,0.445
3,0.102,0.173
3,0.133,0.299
3,0.109,0.186
3,0.113,0.193
3,0.148,0.333
3,0.154,0.345
3,0.16,0.358
3,0.166,0.372
3,0.172,0.386
3,0.179,0.402
3,0.186,0.417
3,0.194,0.434
3,0.126,0.285
3,0.115,0.196
3,0.119,0.203
3,0.156,0.351
3,0.162,0.364
3,0.168,0.378
3,0.175,0.392
3,0.181,0.407
3,0.188,0.422
4,0.111,0.189
4,0.115,0.196
4,0.12,0.204
4,0.125,0.213
4,0.13,0.222
4,0.136,0.232
4,0.143,0.242
4,0.188,0.422
4,0.198,0.443
4,0.207,0.464
4,0.218,0.488
4,0.23,0.514
4,0.111,0.189
4,0.116,0.197
4,0.12,0.205
4,0.131,0.223
4,0.143,0.244
4,0.19,0.425
4,0.199,0.446
4,0.209,0.468
4,0.22,0.492
4,0.232,0.518
4,0.141,0.316
4,0.116,0.198
4,0.121,0.206
4,0.126,0.214
4,0.132,0.224
4,0.144,0.245
4,0.151,0.256
4,0.2,0.448
4,0.21,0.47
4,0.221,0.495
4,0.233,0.521
4,0.112,0.19
4,0.116,0.198
4,0.121,0.206
4,0.126,0.215
4,0.132,0.224
4,0.138,0.234
4,0.144,0.245
4,0.191,0.428
4,0.2,0.449
4,0.211,0.472
4,0.222,0.496
