event_id,rate,gmpe
123,3.1576713545539404e-05,ZhaoEtAl2006Asc()
124,2.5725683800849862e-05,ZhaoEtAl2006Asc()
125,2.095882480191792e-05,ZhaoEtAl2006Asc()
126,1.7075244354164773e-05,ZhaoEtAl2006Asc()
127,1.391127472604071e-05,ZhaoEtAl2006Asc()
128,3.875849699684657e-05,ZhaoEtAl2006Asc()
129,3.1576713545539404e-05,ZhaoEtAl2006Asc()
130,2.5725683800849862e-05,ZhaoEtAl2006Asc()
131,2.095882480191792e-05,ZhaoEtAl2006Asc()
132,1.7075244354164773e-05,ZhaoEtAl2006Asc()
133,1.391127472604071e-05,ZhaoEtAl2006Asc()
134,1.391127472604071e-05,ZhaoEtAl2006Asc()
135,1.391127472604071e-05,ZhaoEtAl2006Asc()
136,1.391127472604071e-05,ZhaoEtAl2006Asc()
137,1.391127472604071e-05,ZhaoEtAl2006Asc()
138,3.875849699684657e-05,ZhaoEtAl2006Asc()
139,3.1576713545539404e-05,ZhaoEtAl2006Asc()
140,2.5725683800849862e-05,ZhaoEtAl2006Asc()
141,2.095882480191792e-05,ZhaoEtAl2006Asc()
142,1.7075244354164773e-05,ZhaoEtAl2006Asc()
143,1.391127472604071e-05,ZhaoEtAl2006Asc()
144,3.875849699684657e-05,ZhaoEtAl2006Asc()
145,3.1576713545539404e-05,ZhaoEtAl2006Asc()
146,2.5725683800849862e-05,ZhaoEtAl2006Asc()
147,2.095882480191792e-05,ZhaoEtAl2006Asc()
148,1.7075244354164773e-05,ZhaoEtAl2006Asc()
149,1.391127472604071e-05,ZhaoEtAl2006Asc()
150,0.00010798586894718717,ZhaoEtAl2006Asc()
151,8.797655004498552e-05,ZhaoEtAl2006Asc()
152,7.167487221502349e-05,ZhaoEtAl2006Asc()
153,5.839382545022599e-05,ZhaoEtAl2006Asc()
154,4.757369975466426e-05,ZhaoEtAl2006Asc()
155,3.875849699684657e-05,ZhaoEtAl2006Asc()
156,3.1576713545539404e-05,ZhaoEtAl2006Asc()
157,2.5725683800849862e-05,ZhaoEtAl2006Asc()
158,2.095882480191792e-05,ZhaoEtAl2006Asc()
159,1.7075244354164773e-05,ZhaoEtAl2006Asc()
160,1.391127472604071e-05,ZhaoEtAl2006Asc()
161,0.00030086171538663413,ZhaoEtAl2006Asc()
162,0.00024511332842334953,ZhaoEtAl2006Asc()
163,0.00019969487873711014,ZhaoEtAl2006Asc()
164,0.0001626922732041458,ZhaoEtAl2006Asc()
165,0.00013254609195650663,ZhaoEtAl2006Asc()
166,0.00010798586894718717,ZhaoEtAl2006Asc()
167,8.797655004498552e-05,ZhaoEtAl2006Asc()
168,7.167487221502349e-05,ZhaoEtAl2006Asc()
169,5.839382545022599e-05,ZhaoEtAl2006Asc()
170,4.757369975466426e-05,ZhaoEtAl2006Asc()
171,3.875849699684657e-05,ZhaoEtAl2006Asc()
172,3.1576713545539404e-05,ZhaoEtAl2006Asc()
173,2.5725683800849862e-05,ZhaoEtAl2006Asc()
174,2.095882480191792e-05,ZhaoEtAl2006Asc()
175,1.7075244354164773e-05,ZhaoEtAl2006Asc()
176,1.391127472604071e-05,ZhaoEtAl2006Asc()
177,0.00030086171538663413,ZhaoEtAl2006Asc()
178,0.00024511332842334953,ZhaoEtAl2006Asc()
179,0.00019969487873711014,ZhaoEtAl2006Asc()
180,0.0001626922732041458,ZhaoEtAl2006Asc()
181,0.00013254609195650663,ZhaoEtAl2006Asc()
182,0.00010798586894718717,ZhaoEtAl2006Asc()
183,8.797655004498552e-05,ZhaoEtAl2006Asc()
184,7.167487221502349e-05,ZhaoEtAl2006Asc()
185,5.839382545022599e-05,ZhaoEtAl2006Asc()
186,4.757369975466426e-05,ZhaoEtAl2006Asc()
187,3.875849699684657e-05,ZhaoEtAl2006Asc()
188,3.1576713545539404e-05,ZhaoEtAl2006Asc()
189,2.5725683800849862e-05,ZhaoEtAl2006Asc()
190,2.095882480191792e-05,ZhaoEtAl2006Asc()
191,1.7075244354164773e-05,ZhaoEtAl2006Asc()
192,1.391127472604071e-05,ZhaoEtAl2006Asc()
193,0.00030086171538663413,ZhaoEtAl2006Asc()
194,0.00024511332842334953,ZhaoEtAl2006Asc()
195,0.00019969487873711014,ZhaoEtAl2006Asc()
196,0.0001626922732041458,ZhaoEtAl2006Asc()
197,0.00013254609195650663,ZhaoEtAl2006Asc()
198,0.00010798586894718717,ZhaoEtAl2006Asc()
199,8.797655004498552e-05,ZhaoEtAl2006Asc()
200,7.167487221502349e-05,ZhaoEtAl2006Asc()
201,5.839382545022599e-05,ZhaoEtAl2006Asc()
202,4.757369975466426e-05,ZhaoEtAl2006Asc()
203,3.875849699684657e-05,ZhaoEtAl2006Asc()
204,3.1576713545539404e-05,ZhaoEtAl2006Asc()
205,2.5725683800849862e-05,ZhaoEtAl2006Asc()
206,2.095882480191792e-05,ZhaoEtAl2006Asc()
207,1.7075244354164773e-05,ZhaoEtAl2006Asc()
208,1.391127472604071e-05,ZhaoEtAl2006Asc()
209,0.00030086171538663413,ZhaoEtAl2006Asc()
210,0.00024511332842334953,ZhaoEtAl2006Asc()
211,0.00019969487873711014,ZhaoEtAl2006Asc()
212,0.0001626922732041458,ZhaoEtAl2006Asc()
213,0.00013254609195650663,ZhaoEtAl2006Asc()
214,0.00010798586894718717,ZhaoEtAl2006Asc()
215,8.797655004498552e-05,ZhaoEtAl2006Asc()
216,7.167487221502349e-05,ZhaoEtAl2006Asc()
217,5.839382545022599e-05,ZhaoEtAl2006Asc()
218,4.757369975466426e-05,ZhaoEtAl2006Asc()
